title,date,duration_s,enclosure_url,enclosure_bytes,guid
"George Hotz: Comma.ai, OpenPilot, and Autonomous Vehicles",2019-08-05,7181,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_george_hotz.mp3,89867027,https://lexfridman.com/?p=3949
Paola Arlotta: Brain Development from Stem Cell to Organoid,2019-08-12,3472,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_paola_arlotta.mp3,42719276,https://lexfridman.com/?p=3963
Keoki Jackson: Lockheed Martin,2019-08-19,4395,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_keoki_jackson.mp3,54116245,https://lexfridman.com/?p=3966
Pamela McCorduck: Machines Who Think and the Early Days of AI,2019-08-23,3617,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_pamela_mccorduck.mp3,44595841,https://lexfridman.com/?p=3970
Jeremy Howard: fast.ai Deep Learning Courses and Research,2019-08-27,6257,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_jeremy_howard.mp3,77519557,https://lexfridman.com/?p=3974
"Yann LeCun: Deep Learning, Convolutional Neural Networks, and Self-Supervised Learning",2019-08-31,4567,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_yann_lecun.mp3,57294627,https://lexfridman.com/?p=3981
Vijay Kumar: Flying Robots,2019-09-08,3417,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/mit_ai_vijay_kumar.mp3,44203392,https://lexfridman.com/?p=3985
"François Chollet: Keras, Deep Learning, and the Progress of AI",2019-09-14,3417,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_francois_chollet.mp3,91125885,https://lexfridman.com/?p=3989
Colin Angle: iRobot,2019-09-19,2271,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_colin_angle.mp3,29031477,https://lexfridman.com/?p=3993
Regina Barzilay: Deep Learning for Cancer Diagnosis and Treatment,2019-09-23,4658,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_regina_barzilay.mp3,57350560,https://lexfridman.com/?p=3996
"Leonard Susskind: Quantum Mechanics, String Theory, and Black Holes",2019-09-26,3460,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_leonard_susskind.mp3,43120257,https://lexfridman.com/?p=3999
Peter Norvig: Artificial Intelligence: A Modern Approach,2019-09-30,3802,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_peter_norvig.mp3,47701005,https://lexfridman.com/?p=4006
Gary Marcus: Toward a Hybrid of Deep Learning and Symbolic AI,2019-10-03,5109,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_gary_marcus.mp3,64590420,https://lexfridman.com/?p=4009
"David Ferrucci: IBM Watson, Jeopardy & Deep Conversations with AI",2019-10-11,8673,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_ferrucci.mp3,107850783,https://lexfridman.com/?p=4013
"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics",2019-10-22,3670,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_michio_kaku.mp3,44822373,https://lexfridman.com/?p=4026
"Garry Kasparov: Chess, Deep Blue, AI, and Putin",2019-10-27,3334,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_garry_kasparov.mp3,41468149,https://lexfridman.com/?p=4029
Sean Carroll: Quantum Mechanics and the Many-Worlds Interpretation,2019-11-01,5406,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sean_carroll_2.mp3,67885766,https://lexfridman.com/?p=4033
Bjarne Stroustrup: C++,2019-11-07,6439,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_bjarne_stroustrup.mp3,79388627,https://lexfridman.com/?p=4036
"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot",2019-11-12,2182,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_elon_musk_2.mp3,28572486,https://lexfridman.com/?p=4043
"Michael Kearns: Algorithmic Fairness, Bias, Privacy, and Ethics in Machine Learning",2019-11-19,6541,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_michael_kearns.mp3,81892297,https://lexfridman.com/?p=4046
"Dava Newman: Space Exploration, Space Suits, and Life on Mars",2019-11-22,2385,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_dava_newman.mp3,29734070,https://lexfridman.com/?p=4051
"Gilbert Strang: Linear Algebra, Deep Learning, Teaching, and MIT OpenCourseWare",2019-11-25,3016,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_gilbert_strang.mp3,37593890,https://lexfridman.com/?p=4054
"Noam Chomsky: Language, Cognition, and Deep Learning",2019-11-29,2170,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_noam_chomsky.mp3,26991711,https://lexfridman.com/?p=4057
"Ray Dalio: Principles, the Economic Machine, Artificial Intelligence & the Arc of Life",2019-12-02,5439,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ray_dalio.mp3,67804320,https://lexfridman.com/?p=4066
"Whitney Cummings: Comedy, Robotics, Neurology, and Love",2019-12-05,4638,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_whitney_cummings.mp3,57385497,https://lexfridman.com/?p=4069
"Judea Pearl: Causal Reasoning, Counterfactuals, Bayesian Networks, and the Path to AGI",2019-12-11,5001,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_judea_pearl.mp3,61987816,https://lexfridman.com/?p=4073
Rohit Prasad: Amazon Alexa and Conversational AI,2019-12-14,6375,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_rohit_prasad.mp3,79336828,https://lexfridman.com/?p=4076
Michael Stevens: Vsauce,2019-12-17,3535,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_michael_stevens.mp3,43900083,https://lexfridman.com/?p=4079
"Sebastian Thrun: Flying Cars, Autonomous Vehicles, and Education",2019-12-21,4741,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sebastian_thrun.mp3,58603429,https://lexfridman.com/?p=4083
"Jim Gates: Supersymmetry, String Theory and Proving Einstein Right",2019-12-25,5728,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_jim_gates.mp3,70250952,https://lexfridman.com/?p=4086
"Melanie Mitchell: Concepts, Analogies, Common Sense & Future of AI",2019-12-28,6787,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_melanie_mitchell.mp3,84503058,https://lexfridman.com/?p=4091
"Donald Knuth: Algorithms, TeX, Life, and The Art of Computer Programming",2019-12-30,6373,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_donald_knuth.mp3,78857557,https://lexfridman.com/?p=4095
"Stephen Kotkin: Stalin, Putin, and the Nature of Power",2020-01-03,5869,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_stephen_kotkin.mp3,71272409,https://lexfridman.com/?p=4099
Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics,2020-01-07,3792,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_grant_sanderson.mp3,46966812,https://lexfridman.com/?p=4112
"Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI",2020-01-14,4749,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_daniel_kahneman.mp3,58613338,https://lexfridman.com/?p=4115
Ayanna Howard: Human-Robot Interaction and Ethics of Safety-Critical Systems,2020-01-17,6024,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ayanna_howard.mp3,74528131,https://lexfridman.com/?p=4119
"Paul Krugman: Economics of Innovation, Automation, Safety Nets & Universal Basic Income",2020-01-21,3819,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_paul_krugman.mp3,46993532,https://lexfridman.com/?p=4122
Cristos Goodrow: YouTube Algorithm,2020-01-25,5479,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_cristos_goodrow.mp3,67027563,https://lexfridman.com/?p=4126
David Chalmers: The Hard Problem of Consciousness,2020-01-29,5946,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_chalmers.mp3,72715708,https://lexfridman.com/?p=4129
"Jim Keller: Moore’s Law, Microprocessors, Abstractions, and First Principles",2020-02-05,5711,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_jim_keller.mp3,70621938,https://lexfridman.com/?p=4133
"Vladimir Vapnik: Predicates, Invariants, and the Essence of Intelligence",2020-02-14,6323,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_vladimir_vapnik_2.mp3,77967644,https://lexfridman.com/?p=4137
#72 – Scott Aaronson: Quantum Computing,2020-02-17,5649,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_scott_aaronson.mp3,69052262,https://lexfridman.com/?p=4141
"#73 – Andrew Ng: Deep Learning, Education, and Real-World AI",2020-02-20,5369,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_andrew_ng.mp3,64473979,https://lexfridman.com/?p=4145
"#74 – Michael I. Jordan: Machine Learning, Recommender Systems, and the Future of AI",2020-02-24,6377,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_michael_i_jordan.mp3,78030786,https://lexfridman.com/?p=4149
"#75 – Marcus Hutter: Universal Artificial Intelligence, AIXI, and AGI",2020-02-26,6023,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_marcus_hutter.mp3,74058554,https://lexfridman.com/?p=4152
#76 – John Hopfield: Physics View of the Mind and Neurobiology,2020-02-29,4396,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_john_hopfield.mp3,54064397,https://lexfridman.com/?p=4155
"#77 – Alex Garland: Ex Machina, Devs, Annihilation, and the Poetry of Science",2020-03-03,4297,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_alex_garland.mp3,53042338,https://lexfridman.com/?p=4159
"#78 – Ann Druyan: Cosmos, Carl Sagan, Voyager, and the Beauty of Science",2020-03-05,4180,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ann_druyan.mp3,51019660,https://lexfridman.com/?p=4162
#79 – Lee Smolin: Quantum Gravity and Einstein’s Unfinished Revolution,2020-03-07,4219,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_lee_smolin.mp3,51891718,https://lexfridman.com/?p=4166
"#80 – Vitalik Buterin: Ethereum, Cryptocurrency, and the Future of Money",2020-03-16,5731,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_vitalik_buterin.mp3,71200058,https://lexfridman.com/?p=4170
#81 – Anca Dragan: Human-Robot Interaction and Reward Engineering,2020-03-19,5941,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_anca_dragan.mp3,72548144,https://lexfridman.com/?p=4176
"#82 – Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game",2020-03-21,2296,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_simon_sinek.mp3,28412128,https://lexfridman.com/?p=4182
#83 – Nick Bostrom: Simulation and Superintelligence,2020-03-26,7026,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_nick_bostrom.mp3,86822002,https://lexfridman.com/?p=4190
#85 – Roger Penrose: Physics of Consciousness and the Infinite Universe,2020-03-31,5305,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_roger_penrose.mp3,64899943,https://lexfridman.com/?p=4196
"#86 – David Silver: AlphaGo, AlphaZero, and Deep Reinforcement Learning",2020-04-03,6508,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_silver.mp3,80003727,https://lexfridman.com/?p=4200
"#87 – Richard Dawkins: Evolution, Intelligence, Simulation, and Memes",2020-04-09,4068,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_richard_dawkins.mp3,50065528,https://lexfridman.com/?p=4203
"#88 – Eric Weinstein: Geometric Unity and the Call for New Ideas, Leaders & Institutions",2020-04-13,10024,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_eric_weinstein_2.mp3,123541952,https://lexfridman.com/?p=4207
"#89 – Stephen Wolfram: Cellular Automata, Computation, and Physics",2020-04-18,11496,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_stephen_wolfram.mp3,140179558,https://lexfridman.com/?p=4210
#90 – Dmitry Korkin: Computational Biology of Coronavirus,2020-04-22,7770,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_dmitry_korkin.mp3,95405996,https://lexfridman.com/?p=4214
"#91 – Jack Dorsey: Square, Cryptocurrency, and Artificial Intelligence",2020-04-24,3102,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_jack_dorsey.mp3,38351556,https://lexfridman.com/?p=4223
#92 – Harry Cliff: Particle Physics and the Large Hadron Collider,2020-04-29,5927,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_harry_cliff.mp3,72147913,https://lexfridman.com/?p=4226
